customer_id,first_name,last_name,email,signup_date,country
CUST1064,Megan,Heath,qhudson@rogers-snyder.com,2024-07-01,Syrian Arab Republic
CUST1065,Kimberly,Jones,zlewis@peterson-beard.com,2023-10-14,United Kingdom
CUST1066,Jeremy,Young,christophercortez@peters-allen.info,2025-03-11,United Kingdom
CUST1067,Antonio,Caldwell,fmcguire@yahoo.com,2024-12-03,France
CUST1068,Leslie,Lewis,tholt@perkins.biz,2025-01-26,Singapore
CUST1069,Joseph,Anderson,jacqueline44@yahoo.com,2025-06-06,South Georgia and the South Sandwich Islands
CUST1070,Jason,Walls,griffithleslie@herrera.com,2023-10-16,Denmark
CUST1071,Sherri,Duncan,jenny89@yahoo.com,2024-07-08,Netherlands
CUST1072,Nancy,Kennedy,kennethward@smith-ferguson.com,2023-12-06,Spain
CUST1073,Leonard,Mueller,tranheidi@little.com,2025-01-19,Guinea
CUST1074,Diana,Aguirre,taylor75@sheppard.info,2024-03-18,Cyprus
CUST1075,Randall,Lee,moralescharles@parks.com,2025-06-30,Norfolk Island
CUST1076,Robin,Davis,davidduran@carlson.biz,2023-08-21,Comoros
CUST1077,Stephen,Jordan,levans@yahoo.com,2023-09-03,Nicaragua
CUST1078,Joseph,Henderson,lynchjody@gmail.com,2024-04-06,El Salvador
CUST1079,John,Owens,donna23@arnold.com,2025-04-08,Philippines
CUST1080,Anna,Daniel,enorris@yahoo.com,2023-09-11,Saudi Arabia
CUST1081,Jose,Nunez,keithcampbell@jones-hall.com,2024-03-13,Saint Helena
CUST1082,Brenda,Joyce,owilson@hernandez.com,2024-05-03,Seychelles
CUST1083,Rachael,Garcia,brooke94@martinez-barker.biz,2024-05-16,Palestinian Territory
CUST1084,Reginald,Powell,mkim@gmail.com,2024-06-28,Pitcairn Islands
CUST1085,Jeffrey,Morgan,cassandra01@gmail.com,2023-11-20,Taiwan
CUST1086,Whitney,Hensley,barbara27@pearson.org,2024-02-04,Burundi
CUST1087,William,Wright,ecosta@yahoo.com,2024-09-14,Nigeria
CUST1088,Christopher,Lee,manuel12@yahoo.com,2024-06-14,Bhutan
CUST1089,Brandon,West,zroberts@hotmail.com,2024-10-11,United Kingdom
CUST1090,Daniel,Henderson,qmiller@wilson-barton.net,2025-01-09,Nigeria
CUST1091,Courtney,Ramirez,mgutierrez@cox.com,2025-04-05,Oman
CUST1092,Laura,Wright,andrea47@washington.com,2023-12-16,Armenia
CUST1093,Robert,Leblanc,andrea86@walker.info,2023-12-09,Georgia
CUST1094,Bryan,Ramos,tyronemoran@thornton.info,2023-12-12,Solomon Islands
CUST1095,Patrick,Callahan,yarnold@weeks.com,2023-09-29,Kazakhstan
CUST1096,Wendy,Pierce,kendra65@adams.org,2024-11-14,Antigua and Barbuda
CUST1097,Allison,Williams,seanwashington@yahoo.com,2025-06-05,Morocco
CUST1098,Tasha,Kidd,mcantu@hotmail.com,2024-05-22,Haiti
CUST1099,Michelle,Huff,xhall@williams-garner.biz,2024-11-22,Saint Martin
